Mode,Category,Subcategory,Note,Income/Expense,Amount(Pounds),date
Credit Card,Household,Hardware,Window cleaner,Expense,1.3708,2024-04-02
Cash,Food,Grocery,Pav kg Lahsoon,Expense,0.2208,2024-04-02
Cash,Food,curd,Dahi 2 packets,Expense,0.184,2024-04-02
Cash,Food,Onions,onion 2 kg,Expense,0.3312,2024-04-02
Cash,maid,,,Expense,18.4,2024-04-02
Saving Bank account 2,Interest,,interest paid,Income,3.174,2024-04-01
Saving Bank account 1,Other,,ATM charge,Expense,0.05428,2024-04-01
Saving Bank account 1,Other,,ATM charge,Expense,0.227976,2024-04-01
Saving Bank account 2,Interest,,interest paid,Income,3.1753799999999996,2024-04-01
Cash,Food,Milk,milk 1lit ,Expense,0.6624,2024-04-01
Saving Bank account 1,Money transfer,Home,,Expense,92.05427999999999,2024-04-01
Saving Bank account 1,Food,Ice cream,2 chocobar,Expense,0.414,
Credit Card,Food,Dinner,Home Food Delivery,Expense,2.2448,
Saving Bank account 1,Salary,,From workplace ,Income,594.6512,
Credit Card,Food,Lunch,Domino's Pizza,Expense,3.8548,
Saving Bank account 1,Transportation,Bike,Station Parking,Expense,0.092,
Saving Bank account 1,Interest,,interest paid,Income,5.4188,
Cash,Transportation,Train,Place 0 to Sion returns,Expense,0.276,
Cash,Food,snacks,1 Panipuri,Expense,0.22999999999999998,
Cash,Food,vegetables,Ginger + green chilli,Expense,0.184,
Cash,Food,Milk,milk 1lit ,Expense,0.6624,
Credit Card,Food,Dinner,At restaurant,Expense,11.3528,
Cash,Food,breakfast,Bread,Expense,0.322,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6624,
Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,Expense,1.4444,
Saving Bank account 1,Dividend earned on Shares,,Marico Stocks,Income,0.3726,
Cash,Transportation,Bike,Station Parking,Expense,0.092,
Cash,Food,snacks,Popcorn family pack,Expense,0.22999999999999998,
Cash,Food,Tea,2 tea,Expense,0.184,
Cash,Food,snacks,2 Frankie,Expense,1.472,
Credit Card,Food,snacks,French crossiant,Expense,0.736,
Credit Card,Food,Tea,IKEA tea 3,Expense,2.208,
Cash,Culture,Books,Finding next Job,Expense,0.9199999999999999,
Saving Bank account 1,Food,flour mill,1 kg Bajari,Expense,0.0644,
Cash,Food,vegetables,Half kg tomato,Expense,0.138,
Saving Bank account 1,Household,Kirana,Supermart,Expense,1.4076,
Saving Bank account 1,Food,snacks,Pickle,Expense,1.38,
Cash,Food,snacks,Potato chips,Expense,1.38,
Cash,Food,Rajgira ladu,1 packet,Expense,0.184,
Cash,Food,Milk,milk 1lit ,Expense,0.6624,
Saving Bank account 1,Food,snacks,2 kachori,Expense,0.2208,
Credit Card,Household,Kirana,Idli pith 1kg,Expense,0.3496,
Cash,Family,Pocket money,,Expense,0.45999999999999996,
Credit Card,Food,Dinner,2 Fried rice,Expense,2.2632,
Saving Bank account 2,Other,,,Expense,0.15639999999999998,
Credit Card,Food,snacks,Chicken lollypop 8 pcs,Expense,1.9848999999999999,
Cash,Food,breakfast,Bread,Expense,0.1656,
Cash,Food,Eggs,6 eggs,Expense,0.3312,
Cash,Food,Milk,Half lit  milk,Expense,0.3312,
Cash,Transportation,Bike,Station Parking,Expense,0.092,
Cash,Food,snacks,Dabeli,Expense,0.138,
Credit Card,Family,clothes,Trouser,Expense,7.3508,
Credit Card,Family,clothes,Belt + bow,Expense,4.5816,
Cash,Food,snacks,Papad packet,Expense,0.45999999999999996,
Cash,Food,snacks,1 Panipuri,Expense,0.276,
Cash,Food,Tea,cutting chai,Expense,0.092,
Cash,Transportation,Train,Place 0 to Place 4 return,Expense,0.184,
Cash,Food,Lunch,Catering Service,Expense,0.276,
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.3404,
Cash,Food,Lunch,Catering Service,Expense,0.552,
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.3312,
Cash,Household,Kirana,Mayonnaise + cheese cubes,Expense,1.288,
Cash,Food,Onions,onion 2 kg,Expense,0.368,
Credit Card,Food,Dinner,Domino's Pizza,Expense,5.3176,
Share Market Trading,Saving Bank account 1,,Unused funds,Transfer-Out,0.394496,
Cash,Family,Pocket money,,Expense,4.416,
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.3312,
Saving Bank account 1,Small Cap fund 2,,,Transfer-Out,46.0,2024-03-13
Saving Bank account 1,Small cap fund 1,,,Transfer-Out,46.0,2024-03-13
Saving Bank account 1,Transportation,train,2 Place 3 to Place 2 : Sevagram express 3AC,Expense,11.8956,2024-03-12
Cash,Household,Hardware,Mosquito Racket,Expense,2.76,2024-03-10
Cash,Health,Health,All out refill,Expense,0.7084,2024-03-10
Cash,Food,Milk,1 lit ,Expense,0.6624,2024-03-10
Cash,Food,Milk,Half lit  milk,Expense,0.3312,2024-03-10
Saving Bank account 1,Apparel,Laundry,clothes ironing,Expense,0.8371999999999999,2024-03-08
Cash,Food,Bread,Flatbread 12 pcs,Expense,0.368,2024-03-08
Cash,Petty cash,,From Family,Income,4.6,2024-03-08
Saving Bank account 1,subscription,Mahanagar Gas,,Expense,4.968,2024-03-08
Cash,Food,Eggs,6 eggs,Expense,0.3312,2024-03-08
Cash,Food,Milk,Half lit  milk,Expense,0.3312,2024-03-08
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-03-08
Saving Bank account 1,Festivals,Holi,Holi Tip to cleaner,Expense,0.184,2024-03-07
Saving Bank account 1,Food,snacks,2 Vadapav,Expense,0.276,2024-03-07
Cash,Health,Medicine,Thyroid Tablets,Expense,1.5824,2024-03-06
Cash,Health,Medicine,5 Meftal spas,Expense,0.2024,2024-03-06
Saving Bank account 1,Education,Stationary,Xerox,Expense,0.0368,2024-03-06
Saving Bank account 1,Petty cash,,From Family,Income,32.2,2024-03-06
Cash,Food,Milk,Half lit  milk,Expense,0.3312,2024-03-06
Credit Card,Documents,Courier,Aadhar PUC card delivery,Expense,0.45999999999999996,2024-03-06
Cash,Family,Pocket money,,Expense,0.45999999999999996,2024-03-06
Cash,Food,Ice cream,chocobar,Expense,0.184,2024-03-05
Saving Bank account 1,Food,flour mill,M D sure 3kg atta,Expense,1.4904,2024-03-05
Credit Card,Household,Kirana,Supermart,Expense,12.484399999999999,2024-03-05
Credit Card,Household,Kirana,Smart point,Expense,8.9424,2024-03-05
Saving Bank account 1,Other,,blanket sewing,Expense,0.092,2024-03-05
Cash,Family,Pocket money,,Expense,4.14,2024-03-04
Cash,Food,Lunch,Catering Service,Expense,1.196,2024-03-04
Saving Bank account 1,Dividend earned on Shares,,ITC Stocks,Income,0.7176,2024-03-03
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.3312,2024-03-03
Saving Bank account 1,Food,Ice cream,chocobar,Expense,0.138,2024-03-02
Credit Card,Food,Dinner,Domino's Pizza,Expense,1.7388,2024-03-01
Cash,Food,Eggs,6 eggs,Expense,0.3312,2024-03-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,92.0,2024-03-01
Equity Mutual Fund B,Saving Bank account 1,,,Transfer-Out,18.4,2024-03-01
Saving Bank account 1,Money transfer,Home,,Expense,92.0,2024-03-01
Saving Bank account 1,Food,Biscuits,Khari packet,Expense,0.414,
Saving Bank account 1,Food,Milk,Half lit Varna milk,Expense,0.3312,
Credit Card,Food,Onions,onion 1 kg,Expense,0.276,
Credit Card,Food,Potato,potato 1kg,Expense,0.1656,
Saving Bank account 1,Salary,,From workplace ,Income,593.9152,
Credit Card,Household,Kirana,Idli pith 1kg,Expense,0.3496,
Cash,Food,Lunch,5 chapati,Expense,0.276,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6716,
Saving Bank account 1,Household,Toiletries,Mirror repair,Expense,1.288,
Credit Card,Transportation,Bike,First servicing,Expense,4.0756,
Saving Bank account 1,Food,beverage,chaas,Expense,0.15639999999999998,
Saving Bank account 1,Food,Bread,Flatbread 12 pcs,Expense,0.368,
Cash,Health,Medicine,Refresh Tears Drop,Expense,1.1776,
Saving Bank account 1,Food,Rajgira ladu,1 packet,Expense,0.184,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6624,
Saving Bank account 1,subscription,Tata Sky,Permanent Residence - Tata Play recharge,Expense,1.4444,
Saving Bank account 1,Food,beverage,Limca,Expense,0.184,
Saving Bank account 1,Food,Onions,onion 1 kg,Expense,0.184,
Saving Bank account 1,Food,Lunch,Catering Service,Expense,1.7664,
Saving Bank account 1,Life Insurance,,,Transfer-Out,101.5956,2024-02-22
Saving Bank account 1,Household,Appliances,Kitchen fan + installation+ repair,Expense,23.919999999999998,
Saving Bank account 1,Petty cash,,From Family,Income,1.564,
Saving Bank account 1,Beauty,grooming,hair cut+shaving,Expense,1.564,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6624,
Saving Bank account 1,Food,snacks,2 kachori,Expense,0.2208,
Credit Card,Food,Dinner,BBQ,Expense,16.4036,
Credit Card,Family,clothes,,Expense,33.1016,
Cash,Transportation,Bike,Mall parking,Expense,0.184,
Cash,Food,Lunch,5 chapati,Expense,0.276,
Saving Bank account 1,Food,snacks,banana chips,Expense,0.414,
Saving Bank account 1,Food,Biscuits,Khari packet,Expense,0.414,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6624,
Saving Bank account 1,Food,Ice cream,chocobar,Expense,0.322,
Saving Bank account 1,Food,Grocery,Half kg tomato + methi 1 judi,Expense,0.276,
Credit Card,Household,Kirana,Supermart,Expense,1.0764,
Saving Bank account 1,Food,snacks,1 chicken shawarma,Expense,0.552,
Credit Card,Food,Potato,potato 1kg,Expense,0.22999999999999998,
Saving Bank account 1,Food,Bread,Bread,Expense,0.322,
Saving Bank account 1,Food,Grocery,Amul cheese,Expense,0.6624,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6624,
Saving Bank account 1,Small Cap fund 2,,,Transfer-Out,46.0,2024-02-13
Saving Bank account 1,Small cap fund 1,,,Transfer-Out,46.0,2024-02-13
Saving Bank account 1,Food,Eggs,6 eggs,Expense,0.3312,2024-02-12
Saving Bank account 1,Food,curd,3 packets,Expense,0.276,2024-02-12
Cash,Food,flour mill,M D sure 3kg atta,Expense,1.4904,2024-02-12
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.276,2024-02-11
Cash,Food,Dinner,pav Bhaji,Expense,2.162,2024-02-11
Cash,Food,snacks,Vadapav,Expense,0.138,2024-02-11
Cash,Transportation,Train,Place 0 to Place 3 returns,Expense,0.368,2024-02-11
Cash,Transportation,auto,Current Residence to Place 0,Expense,0.138,2024-02-11
Saving Bank account 1,Share Market,,,Transfer-Out,44.39,2024-02-10
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,2024-02-10
Saving Bank account 1,Apparel,Laundry,clothes ironing,Expense,0.9016,2024-02-09
Saving Bank account 1,Food,snacks,Shev Puri,Expense,0.322,2024-02-08
Saving Bank account 1,Food,Onions,onion 1 kg,Expense,0.22999999999999998,2024-02-08
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,2024-02-08
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-02-07
Credit Card,Culture,Movie,2 PVR Place 6,Expense,2.8704,2024-02-06
Cash,Family,Pocket money,,Expense,4.6,2024-02-05
Saving Bank account 1,Food,Grocery,Raw chicken half kg,Expense,2.024,2024-02-05
Saving Bank account 1,Food,Biscuits,Khari packet,Expense,0.414,2024-02-05
Saving Bank account 1,Food,Milk,1 packet,Expense,0.6348,2024-02-05
Credit Card,Food,Dinner,Domino's Pizza,Expense,4.1584,2024-02-04
Saving Bank account 1,Food,Lunch,Catering Service,Expense,0.45999999999999996,2024-02-04
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.322,2024-02-04
Saving Bank account 1,Food,Ice cream,chocobar,Expense,0.092,2024-02-03
Credit Card,Transportation,Travels,Place 2 to Place 1 - Shree Sharma Travels,Expense,8.693999999999999,2024-02-03
Cash,Gpay Reward,,,Income,0.0552,2024-02-03
Saving Bank account 1,Food,Lunch,Catering Service,Expense,0.7544,2024-02-02
Saving Bank account 1,Share Market,,,Transfer-Out,26.0912,2024-02-02
Saving Bank account 1,Gpay Reward,,,Income,0.0552,2024-02-02
Cash,Family,Pocket money,,Expense,1.564,2024-02-02
Saving Bank account 1,Food,fruits,8 bananas,Expense,0.276,2024-02-01
Saving Bank account 1,Food,vegetables,Half kg tomato,Expense,0.138,2024-02-01
Saving Bank account 1,Share Market,,,Transfer-Out,460.0,2024-02-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,92.0,2024-02-01
Equity Mutual Fund B,Saving Bank account 1,,,Transfer-Out,18.4,2024-02-01
Cash,maid,,,Expense,18.4,2024-02-01
Saving Bank account 1,Money transfer,Home,,Expense,92.0,2024-02-01
Cash,Food,Dinner,At restaurant,Expense,2.944,
Saving Bank account 1,Transportation,Bike,Parking sticker,Expense,0.45999999999999996,
Saving Bank account 1,Salary,,From workplace ,Income,594.6512,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,
Saving Bank account 1,Household,Kitchen,Matchbox packet 10pcs,Expense,0.092,
Saving Bank account 1,Food,Grocery,Dahi 2 packets,Expense,0.184,
Saving Bank account 1,Share Market,,,Transfer-Out,92.0,
Cash,Family,Pocket money,,Expense,0.9199999999999999,
Saving Bank account 1,Food,Biscuits,Khari packet,Expense,0.414,
Saving Bank account 1,Food,Eggs,6 eggs,Expense,0.38639999999999997,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,
Saving Bank account 1,Food,snacks,2 kachori,Expense,0.2208,
Credit Card,Household,Kirana,Smart point,Expense,8.98748,
Credit Card,Household,Kirana,Supermart,Expense,7.0287999999999995,
Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux third installment,Expense,395.59999999999997,
Saving Bank account 1,Share Market,,,Transfer-Out,276.0,
Cash,Transportation,auto,Place 0 to Current Residence,Expense,0.138,
Cash,Transportation,Train,Place 0 to Place 4 return,Expense,0.184,
Credit Card,Apparel,Clothing,Pyjama (999)+ carry bag (10),Expense,9.2828,
Saving Bank account 1,Food,Rajgira ladu,1 packet,Expense,0.184,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,
Cash,Food,Potato,potato 1kg,Expense,0.22999999999999998,
Cash,Household,Kirana,Idli pith 1kg,Expense,0.3496,
Cash,Food,Lunch,Catering Service,Expense,0.644,
Share Market Trading,Saving Bank account 1,,,Transfer-Out,0.893688,
Cash,Food,Milk,Half lit  milk,Expense,0.322,
Credit Card,Household,Kirana,Smart point,Expense,2.5116,
Saving Bank account 1,Food,flour mill,2 kg Bajari,Expense,0.1288,
Cash,Food,flour mill,M D sure 3kg atta,Expense,1.4904,
Saving Bank account 1,Health,Medicine,Cough-sills 4 pcs + sinarest 3 pcs,Expense,0.276,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,
Credit Card,Food,Dinner,Home Food Delivery,Expense,3.5328,
Saving Bank account 1,Amazon pay cashback,,,Income,0.0184,
Saving Bank account 1,Food,Biscuits,crack-jack 1 packi,Expense,0.092,
Saving Bank account 1,Food,Bread,,Expense,0.414,
Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,Expense,1.6468,
Saving Bank account 1,Food,Bread,Flatbread 6 pcs,Expense,0.15639999999999998,
Saving Bank account 1,Household,Kirana,Amul butter,Expense,0.4876,
Cash,Food,Bread,Flatbread 6 pcs,Expense,0.184,
Cash,Household,Kirana,Cakes,Expense,0.4232,
Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux second installment,Expense,460.0,
Credit Card,Food,Lunch,Fresh veggie pizza,Expense,2.0148,
Saving Bank account 1,Food,Eggs,6 eggs,Expense,0.38639999999999997,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,
Cash,Household,Kirana,Bhagar 1kg 130 + idli pith 1kg 35,Expense,1.518,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,
Credit Card,Social Life,Leisure,Marathon,Expense,2.7416,
Credit Card,Food,Sweets,Chitale Srikhand,Expense,2.6128,
Cash,Food,Grocery,onion 1 kg + half kg potato,Expense,0.3496,
Cash,Transportation,Train,Place 0 to Place 3 returns,Expense,0.368,
Saving Bank account 1,Transportation,auto,Uber auto: Place 4 Station to Current Residence society,Expense,2.4472,
Cash,Transportation,Train,Place 0 to Santacruz return,Expense,0.368,
Credit Card,Household,Hardware,Vibrating electronic message tool,Expense,7.3416,
Cash,Transportation,auto,station to Decathlon,Expense,0.184,
Cash,Transportation,auto,Decathlon to station,Expense,0.22999999999999998,
Credit Card,Apparel,Clothing,Head band,Expense,1.8308,
Cash,Transportation,auto,Pali hill to Bandra station,Expense,0.2116,
Cash,Transportation,auto,mumbai University Kalina to Santacruz station,Expense,0.368,
Cash,Transportation,auto,Current Residence to Place 0,Expense,0.138,
Cash,Health,Medicine,Thyroid Tablets,Expense,6.808,
Saving Bank account 1,Apparel,Laundry,clothes ironing,Expense,0.736,
Saving Bank account 1,Small Cap fund 2,,,Transfer-Out,46.0,2024-01-13
Saving Bank account 1,Small cap fund 1,,,Transfer-Out,46.0,2024-01-13
Credit Card,Household,Kirana,Smart point,Expense,2.0792,2024-01-12
Cash,Health,Lab Tests,Family Thyroid Test,Expense,4.6,2024-01-12
Saving Bank account 1,Share Market,,,Transfer-Out,184.0,2024-01-12
Saving Bank account 1,Equity Mutual Fund A,,,Transfer-Out,9.2,2024-01-12
Saving Bank account 1,Food,Eggs,6 eggs,Expense,0.38639999999999997,2024-01-11
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,2024-01-11
Saving Bank account 1,Food,Rajgira ladu,2 packets,Expense,0.368,2024-01-10
Cash,Food,Bread,Flatbread 12 pcs,Expense,0.31279999999999997,2024-01-09
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,2024-01-09
Cash,Food,snacks,Vadapav,Expense,0.184,2024-01-08
Cash,Other,,Gift from inlaws,Income,18.4,2024-01-08
Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,Expense,12.8708,2024-01-08
Saving Bank account 1,Food,flour mill,M D sure 2kg atta,Expense,0.9568,2024-01-08
Cash,Household,Kirana,Harpik 1L,Expense,1.518,2024-01-08
Cash,Food,Tea,2 cutting chai,Expense,0.184,2024-01-07
Cash,Transportation,Train,Place 0 to Place 4 return,Expense,0.184,2024-01-07
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-01-07
Saving Bank account 1,subscription,Mahanagar Gas,,Expense,7.452,2024-01-06
Cash,Household,Kirana,Idli pith 1kg,Expense,0.3496,2024-01-06
Saving Bank account 1,Household,Appliances,5 litres can Distilled water,Expense,0.9199999999999999,2024-01-06
Cash,Food,curd,2 cups,Expense,0.184,2024-01-06
Cash,Food,Milk,1 lit ,Expense,0.6348,2024-01-06
Equity Mutual Fund C,Maturity amount,,,Income,55.6508,2024-01-05
Cash,Household,Kirana,Cockroach injection,Expense,2.484,2024-01-04
Cash,Household,Kirana,Nandadip oil bottle,Expense,1.196,2024-01-04
Cash,Food,Lunch,Catering Service,Expense,0.644,2024-01-04
Saving Bank account 1,Small cap fund 1,,,Transfer-Out,46.0,2024-01-04
Saving Bank account 1,Small Cap fund 2,,,Transfer-Out,46.0,2024-01-04
Saving Bank account 1,Documents,Updation,Aadhar Address Change,Expense,0.45999999999999996,2024-01-04
Equity Mutual Fund A,Maturity amount,,SIP Redemption,Income,1043.0592,2024-01-04
Equity Mutual Fund D,Maturity amount,,SIP Redemption,Income,983.25,2024-01-04
Credit Card,Food,Dinner,Wok express + Domino's,Expense,6.2652,2024-01-03
Saving Bank account 1,Transportation,Bike,Two Wheeler Bikedelux booking amount,Expense,9.2,2024-01-03
Saving Bank account 1,Food,Eggs,6 eggs,Expense,0.368,2024-01-03
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,2024-01-03
Credit Card,Household,Kirana,Supermart,Expense,10.488,2024-01-02
Cash,Health,Medicine,Refresh Tears Drop,Expense,1.4536,2024-01-02
Credit Card,subscription,Amazon Prime,Amazon pay cashback 1017 + Rs.482,Expense,4.4344,2024-01-01
Cash,Food,Ice cream,Raspberry dolly,Expense,0.138,2024-01-01
Credit Card,Household,gadgets,Logitech mouse,Expense,5.5108,2024-01-01
Cash,Food,Milk,1 lit ,Expense,0.6348,2024-01-01
Saving Bank account 1,Money transfer,Home,,Expense,276.0,2024-01-01
Cash,maid,,,Expense,18.4,2024-01-01
Equity Mutual Fund B,Saving Bank account 1,,,Transfer-Out,18.4,2024-01-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,92.0,2024-01-01
Cash,Food,Bread,Flatbread 24 pcs,Expense,0.276,
Saving Bank account 1,Salary,,From workplace ,Income,594.5316,
Saving Bank account 1,Interest,,interest paid,Income,5.4648,
Cash,Food,vegetables,Dudhi 20 + mirchi 5,Expense,0.22999999999999998,
Saving Bank account 1,Family,misc,For utensils,Expense,4.14,
Cash,Food,snacks,3 pavwada,Expense,0.276,
Cash,Household,Kirana,,Expense,1.6743999999999999,
Cash,Food,flour mill,,Expense,0.046,
Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,Expense,1.6652,
Cash,Food,vegetables,Ginger,Expense,0.092,
Cash,Food,Grocery,Tata salt 28+ 6 eggs 42,Expense,0.644,
Saving Bank account 1,Fixed Deposit,,,Transfer-Out,2300.0,
Fixed Deposit,Saving Bank account 1,,,Transfer-Out,1380.0,
Credit Card,subscription,Newspaper,"ET Prime (1+1) till 24 Dec,2024",Expense,16.090799999999998,
Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,Expense,1.4352,
Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,Expense,1.6652,
Cash,Transportation,auto,Place 2 station to Permanent Residence,Expense,0.736,
Saving Bank account 1,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,
Credit Card,Gift,,Birthday gift,Expense,12.5488,
Cash,Food,snacks,Gupta bhel,Expense,0.22999999999999998,
Cash,Household,Toiletries,Toothbrush (buy 2 get 1),Expense,0.9199999999999999,
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.322,
Credit Card,Gift,,Birthday gift,Expense,7.3416,
Saving Bank account 1,Food,Lunch,Home Food Delivery,Expense,3.496,
Saving Bank account 1,Equity Mutual Fund C,,,Transfer-Out,9.2,2024-12-22
Saving Bank account 1,Food,snacks,Vadapav,Expense,0.138,
Cash,Household,Kirana,Surti kolam 2kg (54rsx2)+Monaco biscuits,Expense,1.0856,
Cash,Food,Lunch,Catering Service,Expense,0.598,
Cash,Food,Milk,milk 1lit ,Expense,0.644,
Cash,Food,Lunch,Catering Service,Expense,0.874,
Credit Card,subscription,Edtech Course,Renewal,Expense,261.28,
Saving Bank account 1,Gpay Reward,,,Income,0.0552,
Cash,Family,Pocket money,,Expense,4.6,
Cash,Food,snacks,Chicken Frankie,Expense,0.414,
Share Market Trading,Saving Bank account 1,,Fund Withdrawal,Transfer-Out,1.002432,
Cash,Transportation,Train,Place 0 to WS return,Expense,0.092,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6348,
Credit Card,Apparel,Clothing,undergarment single,Expense,2.8704,
Credit Card,Food,Dinner,At restaurant,Expense,4.646,
Cash,Transportation,auto,within city,Expense,0.276,
Credit Card,Household,Kirana,Dmart,Expense,8.0776,
Cash,Food,Tea,2 cutting chai,Expense,0.184,
Cash,Transportation,auto,college to inorbit,Expense,0.22999999999999998,
Cash,Transportation,Train,Place 0 to Place 4 return,Expense,0.184,
Cash,Transportation,auto,Current Residence to Place 0,Expense,0.138,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6348,
Cash,Other,,Nosebud,Expense,0.092,
Cash,Food,Ice cream,chocobar,Expense,0.138,
Saving Bank account 1,Petty cash,,From Family,Income,27.599999999999998,
Cash,Food,Grocery,Paneer + 1 kg onion,Expense,1.334,
Cash,Apparel,Laundry,clothes ironing,Expense,0.9016,
Cash,Family,Pocket money,,Expense,0.184,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6348,
Cash,Food,Eggs,6 eggs,Expense,0.368,2024-12-12
Credit Card,Food,snacks,Double chicken shwarma,Expense,0.9199999999999999,2024-12-12
Cash,Food,Lunch,Catering Service,Expense,0.736,2024-12-12
Saving Bank account 1,Equity Mutual Fund F,,,Transfer-Out,9.2,2024-12-12
Cash,Food,vegetables,,Expense,0.828,2024-12-10
Cash,Food,fruits,,Expense,2.852,2024-12-10
Cash,Food,snacks,Gupta bhel,Expense,0.22999999999999998,2024-12-10
Saving Bank account 1,Food,Lunch,Catering Service,Expense,0.598,2024-12-10
Cash,Food,Lunch,Catering Service,Expense,0.782,2024-12-09
Saving Bank account 1,Food,Dinner,Home Food Delivery - roti 17*4+ paneer chatpata 190+ veg crispy 150,Expense,3.7536,2024-12-08
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6348,2024-12-07
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-12-07
Saving Bank account 1,Food,Lunch,Catering Service,Expense,1.15,2024-12-06
Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,Expense,0.9199999999999999,2024-12-05
Saving Bank account 1,subscription,Edtech Course,,Expense,24.84,2024-12-05
Saving Bank account 1,Equity Mutual Fund A,,,Transfer-Out,9.2,2024-12-05
Credit Card,Household,Kirana,Smart point,Expense,8.6204,2024-12-04
Credit Card,Household,Kirana,Supermart,Expense,9.108,2024-12-04
Saving Bank account 1,Food,fruits,,Expense,1.104,2024-12-04
Recurring Deposit,Maturity amount,,Premature closure of RD3 & RD4,Income,129.5912,2024-12-04
Saving Bank account 1,Gpay Reward,,,Income,0.0552,2024-12-04
Saving Bank account 1,Food,Bread,,Expense,0.322,2024-12-04
Cash,Food,snacks,Amul butter,Expense,0.45999999999999996,2024-12-04
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6348,2024-12-04
Saving Bank account 1,subscription,Newspaper,,Expense,1.012,2024-12-04
Cash,Food,snacks,Shev Puri,Expense,0.276,2024-12-03
Saving Bank account 1,Food,Lunch,Home Food Delivery - Chicken lollypop 8 pcs 190 + chicken manchow soup 100,Expense,2.668,2024-12-03
Cash,Other,,2 kg soil,Expense,0.184,2024-12-03
Cash,Beauty,grooming,hair cut+shaving,Expense,1.472,2024-12-03
Saving Bank account 1,Food,Ice cream,chocobar,Expense,0.322,2024-12-02
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6348,2024-12-02
Saving Bank account 1,Food,Lunch,Catering Service ( 5 methi paranthe),Expense,1.15,2024-12-01
Saving Bank account 1,Gpay Reward,,,Income,0.0552,2024-12-01
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,2024-12-01
Cash,maid,,,Expense,18.4,2024-12-01
Equity Mutual Fund B,Saving Bank account 1,,,Transfer-Out,18.4,2024-12-01
Share Market Trading,Saving Bank account 1,,Fund Withdrawal,Transfer-Out,920.0,2024-12-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,368.0,2024-12-01
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-12-01
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-12-01
Saving Bank account 1,Health,Medicine,5 Meftal spas,Expense,0.2024,
Saving Bank account 1,Health,Health,Glasses remaining,Expense,7.359999999999999,
Credit Card,Health,Health,Family's Glasses,Expense,208.84,
Saving Bank account 1,Money transfer,Home,,Expense,92.0,
Saving Bank account 1,Saving Bank account 2,,,Transfer-Out,0.711436,
Cash,Family,Pocket money,Change,Expense,0.45999999999999996,
Saving Bank account 1,Salary,,From workplace ,Income,594.6512,
